title,authors,description,published_date
"Fuck Off, Coronavirus, I'm Coloring",Dare You Stamp Co.,"Stuck in the house? Pissed off at the Coronavirus (COVID-19) pandemic?! Well then color the shit out of this new stress-relieving swear word adult coloring book! Coronavirus sucks. Self-quarantining sucks. Social distancing sucks. With reasons to stress coming at us from all directions, why not take a break and just tell life to shut the fuck up? Forget the news and forget the people you’re stuck indoors with. Practice some colorfully meditative self-care with 112 coloring pages packed with belligerent one-liners, foul-mouthed insults, and just plan immature language. Color away the stress as you tune out all the coronavirus bullshit and create an irreverent masterpiece. Give this novel virus the double bird and color the hell out of this coloring book!",2020-04-14
Rules of the Red Rubber Ball,Kevin Carroll,"With simple but delightful storytelling, Kevin Carroll channels his childhood passion for sport and play into a universally appealing blueprint for life. Drawing wisdom from the playgrounds of his youth, where he spent hour upon hour sharpening his body and his mind, Carroll shares with readers his Rules of the Red Rubber Ball - how to achieve maximum human potential through the power of passion and creativity. Finding your own -red rubber ball+ and chasing it to your heart+s content, he argues, is the surest route to peace, prosperity, and happiness. Over the years as an athletic trainer and public speaker, Carroll has transformed his philosophy into seven simple rules that any successful leader will endorse: 1) Commit to it2) Seek out encouragers 3) Work out your creative muscle4) Prepare to shine5) Speak up6) Expect the unexpected7) Maximize the day With an award-winning design and color photos throughout, Rules of the Red Rubber Ball will inspire the child in everyone for generations to come.",2005-09-07
Composition Book,Sunflower Designed,"Composition Notebook College Ruled Composition Book Marble Size for Student 8.5 x 11.5 110 pages It can be used as a notebook - journal or composition book. This paperback notebook is 8"" x 11.5"" (letter size) and has 110 pages (55 sheets) that are college lined.",2019-12-27
She Sang Promise,Jan Godown Annino,"Traces the life and achievements of one of modern America's first female elected tribal leaders, describing in lyrical text her half-Seminole heritage, her determination to acquire an education and her contributions as a community activist.",2010
Virus-proof Your Small Business,Douglas Kruger,"The past two decades were among the most prosperous in history, with over a billion people lifted out of extreme poverty. Then 2020 hit, and, along with it, the coronavirus pandemic. The effect on economies will be extreme. What can small businesses do to survive the Covid-19 crisis? Business coach and author Douglas Kruger provides actionable answers, with a list of 50 practical ways your business can survive - and even thrive - during this time of uncertainty. Business survival entails a simple formula. You must achieve and maintain profits over costs. There are a remarkable number of creative things you can do to stay on the right side of this equation, provided you don't lose your head. Do these things well and you'll be able to keep your staff employed, continue to serve your customers, grow awareness of your brand, and even come out of this difficult period positioned for growth. Right now, owners of small businesses need every smart-cut they can find. Virus-proof Your Small Business provides no fewer than 50, including how to manage and safeguard your cash flow; get your head around the size of the challenge and begin thinking in productive ways; cut costs without cutting employment; use different channels to deliver the same offering; ensure that those who supply you, and those you serve, stay open too.",2020-04-12
"Plagues, Pandemics and Viruses","HEATHER E.,Heather Quinlan","It can come in waves--like tidal waves. It changes societies. It disrupts life. It ends lives. As far back as 3000 BCE (the Bronze Age), plagues have stricken mankind. Covid-19 is just the latest example and shows that we should not expect relief anytime soon. Yet, life continues, and knowledge can save lives. From the plague of Athens to the Covid-19 pandemic, Plagues, Pandemics and Viruses covers the history, causes, medical treatments, human responses, and aftermath of the world's biggest pandemics as well as several modern diseases of note and those that are making a comeback. It chronicles the plagues, pandemics, and other diseases that have inflicted man through the millennia, including ... The bubonic plague/black plague, which killed 30%-60% of Europe's population The devastation to the indigenous population during the European colonization of the Americas The 1918 Spanish Flu, which likely originated in France or Kansas, not Spain How disease ""inspired"" The Canterbury Tales, Wuthering Heights, artist Keith Haring and other art and artists AIDS ""patient zero"" The differences between Covid-19 and other corona viruses How climate change will affect future pandemics The aftermath of various pandemics ... and much, much more. Viruses are neither alive nor dead and are the closest thing we have to zombies. Their only known function is to replicate themselves, which can have devastating consequences on their hosts. Most, but not all, bacteria are good for us. Some are truly horrific, including those that caused the bubonic, pneumonic, and septicemic plagues. And viruses and bacteria are always morphing, evolving, and changing, making them hard to treat. Plagues, Pandemics and Viruses is a frightening recounting of the destruction wrought by disease. Along with looking at some of history's most notorious plagues, pandemics and diseases, Plagues, Pandemics and Viruses takes a look at human resilience and what we've learned from past pandemics. It looks at how science, the medical community and governments have conquered or mitigated most epidemics even before they can turn into pandemics. It reviews the science of pandemics, preventative measures, and medical interventions. This fascinating tome describes the government agencies responsible for preventing pandemics, including the Department of Health and Human Services and World Health Organization, as well as how different governments agencies in the United States and across the globe coordinate at the first sign of an outbreak. Plus, it discusses what individuals can do to significantly reduce the human body's susceptibility to viruses and bacteria, including the importance of conscientious hand washing, flu shots, and proper nutrition. With more than 120 photos, Plagues, Pandemics and Viruses is richly illustrated, and its helpful bibliography and extensive index add to its usefulness. It is an invaluable resource for anyone wanting to protect themselves from plagues, pandemics, epidemics, viruses, and disease. It offers lessons from the past sure to minimize the uncertainties ahead.",2020-11
Minor Feelings,Cathy Park Hong,"A ruthlessly honest, emotionally charged, and utterly original exploration of Asian American consciousness and the struggle to be human “Brilliant . . . To read this book is to become more human.” —Claudia Rankine, author of Citizen Poet and essayist Cathy Park Hong fearlessly and provocatively blends memoir, cultural criticism, and history to expose fresh truths about racialized consciousness in America. Part memoir and part cultural criticism, this collection is vulnerable, humorous, and provocative—and its relentless and riveting pursuit of vital questions around family and friendship, art and politics, identity and individuality, will change the way you think about our world. Binding these essays together is Hong’s theory of “minor feelings.” As the daughter of Korean immigrants, Cathy Park Hong grew up steeped in shame, suspicion, and melancholy. She would later understand that these “minor feelings” occur when American optimism contradicts your own reality—when you believe the lies you’re told about your own racial identity. Minor feelings are not small, they’re dissonant—and in their tension Hong finds the key to the questions that haunt her. With sly humor and a poet’s searching mind, Hong uses her own story as a portal into a deeper examination of racial consciousness in America today. This intimate and devastating book traces her relationship to the English language, to shame and depression, to poetry and female friendship. A radically honest work of art, Minor Feelings forms a portrait of one Asian American psyche—and of a writer’s search to both uncover and speak the truth.",2020-02-25
Stay the F*ck Home!,Lou Bortone,"Stay the F*ck Home is a fun, satirical look at a very serious problem: The 2020 Coronavirus pandemic. In this whimsical, but cautionary tale, readers are educated about the dangers of spreading the virus, and are encouraged to ""stay the f*ck home!"" to keep the virus from spreading. This illustrated parody offers some comic relief in a time of great stress and uncertainty.",2020-04
"Economics in the Age of Covid-19, Updated Edition",Joshua Gans,"A proposal to redefine design in a way that not only challenges the field's dominant paradigms but also changes the practice of design itself. In Critical Fabulations, Daniela Rosner proposes redefining design as investigative and activist, personal and culturally situated, responsive and responsible. Challenging the field's dominant paradigms and reinterpreting its history, Rosner wants to change the way we historicize the practice, reworking it from the inside. Focusing on the development of computational systems, she takes on powerful narratives of innovation and technology shaped by the professional expertise that has become integral to the field's mounting status within the new industrial economy. To do so, she intervenes in legacies of design, expanding what is considered ""design"" to include long-silenced narratives of practice, and enhancing existing design methodologies based on these rediscovered inheritances. Drawing on discourses of feminist technoscience, she examines craftwork's contributions to computing innovation--how craftwork becomes hardware manufacturing, and how hardware manufacturing becomes craftwork. She reclaims, for example, NASA's ""Little Old Ladies,"" the women who built information storage for the Apollo missions by weaving wires through magnetized metal rings. Mixing history, theory, personal experience, and case studies, Rosner reweaves fibers of technoscience by slowly reworking the methods and margins of design. She suggests critical fabulations as ways of telling stories that awaken alternative histories, and offers a set of techniques and orientations for fabulating its future. Critical Fabulations shows how design's hidden inheritances open different possibilities for practice.",2020-11-10
Tributes to the Honorable Nelson A. Rockefeller,United States. Congress. Senate,NA,1977
The End of Epidemics,"Dr. Jonathan D. Quick,Bronwyn Fryer","A leading doctor offers answers on the one of the most urgent questions of our time: How do we prevent the next global pandemic? The 2014 Ebola epidemic in Liberia terrified the world—and revealed how unprepared we are for the next outbreak of an infectious disease. Somewhere in nature, a killer virus is boiling up in the bloodstream of a bird, bat, monkey, or pig, preparing to jump to a human being. This not-yet-detected germ has the potential to wipe out millions of lives over a matter of weeks or months. That risk makes the threat posed by ISIS, a ground war, a massive climate event, or even the dropping of a nuclear bomb on a major city pale in comparison. In The End of Epidemics, Harvard Medical School faculty member and Chair of the Global Health Council Dr. Jonathan D. Quick examines the eradication of smallpox and devastating effects of influenza, AIDS, SARS, and Ebola. Analyzing local and global efforts to contain these diseases and citing firsthand accounts of failure and success, Dr. Quick proposes a new set of actions which he has coined “The Power of Seven,” to end epidemics before they can begin. These actions include: - Spend prudently to prevent disease before an epidemic strikes, rather than spending too little, too late - Ensure prompt, open, and accurate communication between nations and aid agencies, instead of secrecy and territorial disputes - Fight disease and prevent panic with innovation and good science Practical and urgent, The End of Epidemics is crucial reading for citizens, health professionals, and policy makers alike.",2018-01-30
Behind Happy Faces,"Ross Szabo,Melanie Hall","Citing a pervasiveness in mental health problems and suicide among today's high-school and college-aged students, a bipolar patient and advocate draws on anecdotal research to evaluate the ways in which the stigma against mental health is prohibiting effective treatments. Original.",2007
"What Is Coronavirus aka Covid19? Protect Yourself & Others! DIY Facemask, Sanitizers & How to isolate yourself",Maester Books,"This book on Covid-19 aka Coronavirus has all the understanding of this epidemic & safety measures to fight it off. This book also contains multiple methods to create hand sanitizers & face masks. Coronaviruses refer to a large family of viruses according to the biological classification systems. This family is responsible for many known illnesses in humans like the common cold. This coronavirus is a new strain, earlier not identified in human beings, the novel-coronavirus, which is causing the current havoc. The common symptoms of this viral infection are fever, cough, and symptoms related to a respiratory system like difficulty in breathing, shortness of breath. In its most severe form, it can also lead to SARS, kidney failure, pneumonia, and even death. Topics Covered: 1: What is the Corona Virus? 2: Case Studies 3: Corona Pathology 4: How Taiwan Prevented Mass Outbreak of Corona 5: Symptoms, Causes, Complications & Prevention 6: Myth Busters 7: How to Make Hand Sanitizer 8: DIY Facemask 9: Herbal Tea for the Mild Flu 10: How to Make Yourself Quarantine At Home",NA
Pandemia: Covid-19 e a reinvenção do comunismo,Slavoj Žižek,"Uma pandemia global assola o planeta. Com a brusca mudança na rotina de bilhões de pessoas, vivemos em um momento em que o maior ato de responsabilidade é se manter distante daqueles que amamos. Nesta obra escrita em plena quarentena, o filósofo esloveno Slavoj Žižek mergulha de cabeça no espírito de nossa época. Ao longo de treze ensaios de escrita rápida, afiada e bem-humorada, são destrinchados diferentes aspectos do surto provocado pelo novo coronavírus: filosóficos, psicanalíticos, políticos, sociais, econômicos, ecológicos e ideológicos.",2020-04-15
Body Kindness,Rebecca Scritchfield,"Create a healthier and happier life by treating yourself with compassion rather than shame. Imagine a graph with two lines. One indicates happiness, the other tracks how you feel about your body. If you’re like millions of people, the lines do not intersect. But what if they did? This practical, inspirational, and visually lively book shows you the way to a sense of well-being attained by understanding how to love, connect, and care for yourself—and that includes your mind as well as your body. Body Kindness is based on four principles. WHAT YOU DO: the choices you make about food, exercise, sleep, and more HOW YOU FEEL: befriending your emotions and standing up to the unhelpful voice in your head WHO YOU ARE: goal-setting based on your personal values WHERE YOU BELONG: body-loving support from people and communities that help you create a meaningful life With mind and body exercises to keep your energy spiraling up and prompts to help you identify what YOU really want and care about, Body Kindness helps you let go of things you can't control and embrace the things you can by finding the workable, daily steps that fit you best. It's the anti-diet book that leads to a more joyful and meaningful life.",2016-12-27
Feverish Stock Price Reactions to COVID-19,"Stefano Ramelli,Alexander Wagner (Ph. D.)","This paper studies how markets adjust to the sudden emergence of previously neglected risks. It does so by analyzing the stock price effects of the 2019 novel Coronavirus disease (COVID-19) pandemic. The telecom and health care industries did relatively well, while transportation and energy plummeted. Within industries, US firms reliant on Chinese inputs and those with a strong export orientation towards China suffered. Sophisticated investors appear to have started pricing in the effects of the virus already in the first part of January (the ""Incubation"" phase), that is, before managers or analysts started paying attention; the first earnings conference call that contained a discussion of ""Coronavirus"" took place on January 22. The ""Outbreak"" phase followed, during which China-oriented stocks and internationally oriented stocks more generally strongly underperformed. In the last week of February and early March (the ""Fever"" phase), the aggregate market first fell strongly and then entered a whipsaw pattern. But behind these feverish and seemingly behaviorally-driven price moves, some patterns emerge. In particular, investors became increasingly worried about corporate debt and liquidity, indicating widespread concerns that the health crisis may evolve into a financial crisis.",2020
COVID-19 SURVIVE THE MADNESS,C.P. Hunter,"The COVID-19 pandemic has swept the world. Things are only going to get worse, not better for quite some time. This book was created to help deal with problems that may arise in this unprecedented time. From how to stock for long term isolation, free entertainment for when you are isolated, personal health protective gear, to how to provide for yourself in a shortage situation, or if services go out. This is a basic primer for keeping it together when everything is falling apart.",2020-04-10
51 Must Know Facts About Coronavirus (COVID-19),"GP Editors,General Press","The World Health Organisation (WHO) on the 11th of March, 2020 declared the novel coronavirus disease (COVID-19) as pandemic. It has taken significant global media attention within a few weeks into the year 2020. Fear about the risk from the outbreak has challenged the major public healthcare systems around the globe. Billions of people are under lockdown due the COVID-19 crisis. It has also resulted in a huge increase in people seeking information about the virus and the protective measures to be taken. The world authorities came together to declare war against the deadly disease which has caused hundreds of thousands fatalities globally. Researchers came up with many recent studies that have given us a considerable amount of information regarding the virus and its transmission. Enumerable efforts are being taken to create a vaccine of the virus. Various initiatives are being taken worldwide to contain the virus, which has disrupted the social and economic order of the world. The COVID-19 will change the world we live in forever—for better or worse. Lively and information packed, 51 Must Know Facts about Coronavirus is a must read for you to know each and every important fact about the COVID-19.",2020-04-15
Humanitarian Relief for the Citymakers,"Balwant Singh Mehta,Simi Mehta,Arjun Kumar,Indu Prakash Singh","This paper by the team of IMPRI New Delhi discusses the Government of India's Deendayal Antyodaya Yojana National Urban Livelihoods Mission (DAY-NULM) in detail. And, aims to provide a way forward for a more coherent response to address people’s survival and protection on diverse levels of contamination during the ongoing COVID-19 crisis. About the Imprint: IndraStra Papers is an imprint of IndraStra Global New York, specially formulated for stimulating discussion on research and policy studies that deal with economic and development problems facing the world.",2020-04-11
The Monster at Our Door,Mike Davis,"A sobering forecast of a potentially lethal virus known as H5N1, currently affecting the poultry and wild bird populations of East Asia, evaluates the World Health Organization's concerns that the virus is on the brink of mutating into a pandemic illness and cites the ecological and political factors that are contributing to the threat. Reprint.",2006-08-22
Brave New Medicine,Cynthia Li,"In this revelatory memoir, Doctor Cynthia Li shares the truth about her disabling autoimmune illness, the limitations of Western medicine, and her hard-won lessons on healing—mind, body, and spirit. Li had it all: a successful career in medicine, a loving marriage, children on the horizon. But it all came crashing down when, after developing an autoimmune thyroid condition, mysterious symptoms began consuming her body. Test after test came back ""within normal limits,"" baffling her doctors—and baffling herself. Housebound with two young children, Li began a solo odyssey from her living room couch to find a way to heal. Brave New Medicine details the physical and existential crisis that forces a young doctor to question her own medical training. She dives into the root causes of her illness, learning to unlock her body's innate intelligence and wholeness. Li relates her story with the insight of a scientist, and the humility and candor of a patient, exploring the emotional and spiritual shifts beyond the physical body. Millions of people worldwide are affected by autoimmune disease. While complex conditions like chronic fatigue syndrome (ME/CFS) are gaining attention, patients struggling with these mysterious ailments remain largely dismissed by their doctors, families, and friends. This is the harsh reality that doctor-turned-""difficult patient"" Li faced firsthand. Drawing on cutting-edge science, ancient healing arts, and the power of intuition, this memoir offers support, validation, and a new perspective for doctors and patients alike. Through her story, you can find the wisdom and heart to start your own healing journey, too.",2019-09-01
Severance,Ling Ma,"Winner of the 2018 Kirkus Prize, A PEN/Hemingway and NYPL Young Lions Finalist, A New York Times Notable Book of 2018, An Indie Next Selection A Best Book of 2018 at Elle, Marie Claire, Refinery29, Bustle, Buzzfeed, BookPage, Bookish, Mental Floss, Chicago Review of Books, HuffPost, Electric Literature, Amazon Editors', A.V. Club, Jezebel, Vulture ""A fierce debut from a writer with seemingly boundless imagination. . . A stunning, audacious book with a fresh take on both office politics and what the apocalypse might bring."" —Michael Schaub, NPR.org Maybe it’s the end of the world, but not for Candace Chen, a millennial, first-generation American and office drone meandering her way into adulthood in Ling Ma’s offbeat, wryly funny, apocalyptic satire, Severance. Candace Chen, a millennial drone self-sequestered in a Manhattan office tower, is devoted to routine. With the recent passing of her Chinese immigrant parents, she’s had her fill of uncertainty. She’s content just to carry on: She goes to work, troubleshoots the teen-targeted Gemstone Bible, watches movies in a Greenpoint basement with her boyfriend. So Candace barely notices when a plague of biblical proportions sweeps New York. Then Shen Fever spreads. Families flee. Companies cease operations. The subways screech to a halt. Her bosses enlist her as part of a dwindling skeleton crew with a big end-date payoff. Soon entirely alone, still unfevered, she photographs the eerie, abandoned city as the anonymous blogger NY Ghost. Candace won’t be able to make it on her own forever, though. Enter a group of survivors, led by the power-hungry IT tech Bob. They’re traveling to a place called the Facility, where, Bob promises, they will have everything they need to start society anew. But Candace is carrying a secret she knows Bob will exploit. Should she escape from her rescuers? A send-up and takedown of the rituals, routines, and missed opportunities of contemporary life, Ling Ma’s Severance is a moving family story, a quirky coming-of-adulthood tale, and a hilarious, deadpan satire. Most important, it’s a heartfelt tribute to the connections that drive us to do more than survive.",2018-08-14
I DON'T WANNA DIE!,Michael Alvear,"AN EMOTIONAL FIRST AID KIT FOR COVID-19 Get calm and centered against the unique stressors of the coronavirus using the latest breakthroughs in psychology and neuroscience. Whether you’re stress eating, obsessing over the number of times you wash your hands, thinking about panic selling your nest egg, or compulsively worrying about you or your family getting infected, it’s easy to FREAK OUT, lose sleep, get anxiety attacks and make ruinous decisions. Get advice based on the latest studies in building grit and resilience. You'll learn how to: • Rewire The Brain’s Panic Button • Drain The Swamp Of Anxiety • Apply Emotional First Aid • Armor Against The Baboons of Bad News • Deal With Helplessness & Loss Of Control • Break The Virus Fear Loop • Teach Your Inner Critic Not To Be So Hateful • Manage The Frustration of Living In An Altered World • Use Purpose To Turn Poison Into Medicine The insights and tools in this guide, borne out of the latest brain research, will forever, and permanently, change the way you receive, interpret, act and react to the horrible, no-good things coming out of the coronavirus. About The Author Known for his ability to distill complex topics into simple behaviors easily applied to daily life, Michael Alvear has been writing about psychology and health for over 25 years. His books specialize in applying the latest findings in neuroscience research to weight loss (Eat It Later), relationships (Not Tonight Dear, I Feel Fat) and resiliency (The Bulletproof Writer).",2020-04-10
COVID-19 Checklist to Help the Isolated Or Quarantined,NA,NA,2020
Maintaining food and nutrition security in Myanmar during the COVID-19 crisis: Lessons from India’s lockdown,"International Food Policy Research Institute (IFPRI),Michigan State University","The recent sudden imposition of a stringent 21-day lockdown in India in the face of the COVID-19 pandemic has adversely affected the food security of many vulnerable Indians. These impacts highlight the many challenges that this kind of anti-COVID intervention can pose in other settings where the labor force is mostly informally employed with poor job security and low wages, and where the agri-food systems is similarly informal with widespread use of open-air markets. Myanmar is such a setting. India’s chastening experience with food security during its lockdown suggests the following actions would be imperative for maintaining food security in Myanmar: • Allow the free movement of all goods. A stable and reliable agri-food system requires free movements of a wide range of food products (including micronutrient-rich fruits, vegetables and animal-sourced foods) as well as essential non-food goods. • Monitor food markets and agricultural value chains as closely as possible to address problems when they do arise. • Reduce risk of COVID-19 contagion by improving hygiene in Myanmar’s food markets. • Issue clear directives to police, military, and local authorities not to impede the movement of goods. The Government of Myanmar should learn from the mistakes made in India and other developing countries. We must recognize that basic food and nutrition security must be maintained at all times through this complex health and socioeconomic crisis.",2020-04-09
War Doctor,David Nott,"The #1 internationally bestselling, gripping true story of a frontline trauma surgeon operating in the world’s most dangerous war zones For more than 25 years, surgeon David Nott has volunteered in some of the world’s most dangerous conflict zones. From Sarajevo under siege in 1993 to clandestine hospitals in rebel-held eastern Aleppo, he has carried out lifesaving operations in the most challenging conditions, and with none of the resources of a major metropolitan hospital. He is now widely acknowledged as the most experienced trauma surgeon in the world. War Doctor is his extraordinary story, encompassing his surgeries in nearly every major conflict zone since the end of the Cold War, as well as his struggles to return to a “normal” life and routine after each trip. Culminating in his recent trips to war-torn Syria—and the untold story of his efforts to help secure a humanitarian corridor out of besieged Aleppo to evacuate some 50,000 people—War Doctor is a heart-stopping and moving blend of medical memoir, personal journey, and nonfiction thriller that provides unforgettable, at times raw, insight into the human toll of war.",2020-03-03
The First Time,Colton Underwood,"From former football player and star of The Bachelor and The Bachelorette comes a fascinating and eye-opening behind-the-scenes look at his drama-filled season on the hit reality show. Before Colton Underwood captured the hearts of millions on The Bachelor, he was a goofy, socially awkward, overweight adolescent who succeeded on the football field while struggling with personal insecurities off it. An All American gridiron hero, he was also a complex, sometimes confused, soft-hearted romantic wondering how these contradictions fit together. Old-fashioned and out of step with the swipe right dating culture of today, he was saving the most intimate part of life for the love of his life. If only he could find her… Now, in The First Time, Colton opens up about how he came to find himself and true love at the same time via the Bachelor franchise. Unencumbered by cameras and commercial breaks, he delivers a surprisingly raw, endearing, and seriously juicy account of his journey through The Bachelorette, Bachelor in Paradise, and The Bachelor, along with what has happened with him and Cassie Randolph since his season wrapped. He opens up about being dumped by Becca, his secret dalliance with Tia, what it was like to be the world’s most famous virgin, his behind-the-scenes conflicts with production, and how his on-camera responsibilities as the Bachelor nearly destroyed him after he knew he had already fallen in love with Cassie. A memoir for Bachelor Nation and anyone who believes in the magic of love, The First Time carries a simple but powerful message: It’s okay to laugh and cry and occasionally jump over a fence, if it means coming one step closer to the right person.",2020-03-31
Covid-19 Coronavirus and Macroeconomic Policy,"Luca Fornaro,Martin Wolf (Lecturer in economics)","We provide a simple model to understand some macroeconomic implications of the coronavirus epidemic. We focus on a scenario in which the Covid-19 outbreak causes a persistent supply disruption, potentially extending beyond the end of the epidemic. We show that the spread of the virus might generate a demand-driven slump, give rise to a supply-demand doom loop, and open the door to stagnation traps induced by pessimistic animal spirits. Aggressive policies to support investment can reverse the supply-demand doom loop and jumpstart the economy out of stagnation traps.",2020
UPaul ongezwako,NA,NA,2019
COVID-19 Information for At-home Learning,NA,"With K-12 schools currently closed, parents and guardians may be looking for ways to help enhance their children's learning during this time at home. These resources provide learning opportunities for kids in the kindergarten-grade 3 age range.",2020
Executive Order #72 and the Public Health Emergency Related to COVID-19,Michael Queensland,NA,2020
The Rules of Contagion,Adam Kucharski,"'It is hard to imagine a more timely book ... much of the modern world will make more sense having read it.' The Times 'Brilliant and authoritative' - Alex Bellos, author of Alex's Adventures in Numberland A deadly virus suddenly explodes into the population. A political movement gathers pace, and then quickly vanishes. An idea takes off like wildfire, changing our world forever. We live in a world that's more interconnected than ever before. Our lives are shaped by outbreaks - of disease, of misinformation, even of violence - that appear, spread and fade away with bewildering speed. To understand them, we need to learn the hidden laws that govern them. From 'superspreaders' who might spark a pandemic or bring down a financial system to the social dynamics that make loneliness catch on, The Rules of Contagion offers compelling insights into human behaviour and explains how we can get better at predicting what happens next. Along the way, Adam Kucharski explores how innovations spread through friendship networks, what links computer viruses with folk stories - and why the most useful predictions aren't necessarily the ones that come true.",2020-02-13
Health Promotion in Disease Outbreaks and Health Emergencies,Glenn Laverack,"The book is exceptionally timely and will be of interest to many professionals, students and academics. I am not aware of any other book that covers this important topic. Glenn Laverack brings credibility and kudos having direct experience of health emergencies and seen as a leading academic thinker in health promotion. Dr James Woodall, Reader in Health Promotion, Leeds Beckett University Using specific examples to illustrate broader concepts, this text provides a solid introduction to health promotion in infectious disease outbreaks. Ella Watson-Stryker, Health Promotion Manager, Médecins Sans Frontières This book is timely given the current humanitarian and development scenarios in which health promoters and development communicators must work. There is a dire need for reference materials for practitioners which expand upon theoretical/scientific concepts and principles and provide practical, straightforward guidance to professionals working in the field. The increasing amount of public health emergencies, e.g. SARS, Ebola, Zika etc. require professionals to increase their preparedness to respond in outbreak or disaster situations and this book becomes a useful tool for needed action. Dr Erma Manoncourt, Vice-President of Membership and Co-Chair Global Working Group on the Social Determinants of Health, IUHPE, Paris, France. This is the first ever practical guide to the valuable role that health promotion can play in disease outbreaks and health emergencies. Over the past 20 years the number of disease outbreaks has increased alongside a significant role played out by international agencies involved in emergency responses. The book comprehensively covers the role that health promoters have in this new and exciting field of international work including data collection, communication, community capacity building and engagement and rumour management. Part 1 provides a detailed overview of the role of health promotion in disease outbreaks and health emergencies. Part 2 directly addresses the role of health promotion in two distinct types of disease outbreaks: person to person and vector borne disease transmission. Part 3 covers the role of health promotion in specialist areas of work in disease outbreaks and health emergencies. Health Promotion in Disease Outbreaks and Health Emergencies is essential reading for health promotion and public health students worldwide, as well as for UN agencies and international NGOs working in this emerging field.",2017-09-13
Über den verteufelten Begriff der Qualität,Werner Schmalenbach,NA,1977
Alert Regarding COVID-19 for Opioid Treatment Programs,Deirdre Calvert,NA,2020
PanCAP Adapted U.S. Government COVID-19 Response Plan,United States. Department of Health and Human Services,"This plan outlines the United States Government (USG) coordinated federal response activities for COVID-19 in the United States. The President appointed the Vice President to lead the USG effort with the Department of Health and Human Services (HHS) serving as the Lead Federal Agency (LFA) consistent with the Pandemic and All Hazards Preparedness Act and Presidential Policy Directive 44. Under the National Response Framework and the Biological Incident Annex to the Response and Recovery Federal Interagency Operational Plans (FIOP), other federal agencies will support HHS through the Emergency Support Functions (ESFs). The response will be carried out according to the NRF and in accordance with established departmental authorities and standing policies and procedures. This plan identifies anticipated roles and responsibilities of HHS, other federal departments and agencies, and supporting organizations, to establish lines of authority and avoid overlap and duplication of effort.",2020
Contagion,Richard Gunderman,"As the outbreak of a new and deadly form of coronavirus dominates headlines and triggers fear and global recession, now is a good time to reflect on the history and science of transmissible diseases. Behind every disease is a story, from the natural history of the disease and its course in the individual, to the tale of the disease's description, discovery and treatment. From the impact of tuberculosis on English dynastic history to the makeup of our DNA; from the deadliest plagues of the ancient world to twenty-first century pandemics; and from the ravages of the Black Death to the discovery of antibodies, transmissible diseases have an incredible variety of tales to tell. Contagionexplores some of the most notorious, grisly, and pernicious communicable diseases in history, revealing their hidden stories. In addition to discussing their symptoms, causes, prevention, and treatment, Richard Gunderman also discusses their impact on notable figures in history, from soldiers to monarchs; the extraordinary contributions of the scientists and physicians who battled them; as well as their impacts on world history and human evolution. Here are the exploits of Edward Jenner, who invented the first vaccine; John Snow, the first person to study disease scientifically; Louis Pasteur, who established the germ theory of infection, along with a myriad other remarkable stories in the never ending struggle between humanity and disease. The narrative is brought right up to date with the desperate battle to stem the Covid-19 pandemic and discover a vaccine. Renowned medical expert Dr Richard Gunderman shows how disease has shaped the evolution of our species and, if we don't take the proper steps, may yet threaten our very existence on this planet.",2020-10-15
Guilty People,Abbe Smith,"Criminal defense attorneys protect the innocent and guilty alike, but, the majority of criminal defendants are guilty. This is as it should be in a free society. Yet there are many different types of crime and degrees of guilt, and the defense must navigate through a complex criminal justice system that is not always equipped to recognize nuances. In Guilty People, law professor and longtime criminal defense attorney Abbe Smith gives us a thoughtful and honest look at guilty individuals on trial. Each chapter tells compelling stories about real cases she handled; some of her clients were guilty of only petty crimes and misdemeanors, while others committed offenses as grave as rape and murder. In the process, she answers the question that every defense attorney is routinely asked: How can you represent these people? Smith’s answer also tackles seldom-addressed but equally important questions such as: Who are the people filling our nation’s jails and prisons? Are they as dangerous and depraved as they are usually portrayed? How did they get caught up in the system? And what happens to them there? This book challenges the assumption that the guilty are a separate species, unworthy of humane treatment. It is dedicated to guilty people—every single one of us.",2020-01-17
Funny Covid-19 Memes 4,Wonky Jonky,The best Covid-19 Memes to keep you laughing and lighten the mood throughout this Coronavirus pandemic,2020-04-04
