title,authors,description,published_date
Humanities Computing,W. McCarty,"Humanities Computing provides a rationale for a computing practice that is of and for as well as in the humanities and the interpretative social sciences. It engages philosophical, historical, ethnographic and critical perspectives to show how computing helps us fulfil the basic mandate of the humane sciences to ask ever better questions of the most challenging kind. It strengthens current practice by stimulating debate on the role of the computer in our intellectual life, and outlines an agenda for the field to which individual scholars across the humanities can contribute.",2005-01-01
Research Methods for Creating and Curating Data in the Digital Humanities,Matt Hayler,"As all scholars increasingly use digital tools to support their research, and every internet user becomes used to data being available, elucidating, and engaging, the creative aspects of Digital Humanities work are coming under increasing scrutiny. This volume explores the practice of making new tools, new images, new collections, and new artworks in an academic environment, detailing who needs to be involved and what their roles might be, and how they come together to produce knowledge as a collective. The chapters presented here demonstrate that creation is never neutral with political and theoretical concerns intentionally or unavoidably always being written into the fabric of what is being made, even if that's the seeming neatness of computer code. In presenting their own creative research, the writers in this volume offer examples of practice that will be of use to anyone interested in learning more about contemporary Digital Humanities scholarship and its implications.",2016-05-30
"Composition, Creative Writing Studies, and the Digital Humanities",Adam Koehler,"In an era of blurred generic boundaries, multimedia storytelling, and open-source culture, creative writing scholars stand poised to consider the role that technology-and the creative writer's playful engagement with technology-has occupied in the evolution of its theory and practice. Composition, Creative Writing Studies and the Digital Humanities is the first book to bring these three fields together to open up new opportunities and directions for creative writing studies. Placing the rise of Creative Writing Studies alongside the rise of the digital humanities in Composition/Rhetoric, Adam Koehler shows that the use of new media and its attendant re-evaluation of fundamental assumptions in the field stands to guide Creative Writing Studies into a new era. Covering current developments in composition and the digital humanities, this book re-examines established assumptions about process, genre, authority/authorship and pedagogical practice in the creative writing classroom.",2017-01-26
NEW COMPANION TO DIGITAL HUMANITIES,SUSAN SCHREIBMAN,NA,2015-11-20
Humanities Computing,W. McCarty,"Humanities Computing provides a rationale for a computing practice that is of and for as well as in the humanities and the interpretative social sciences. It engages philosophical, historical, ethnographic and critical perspectives to show how computing helps us fulfil the basic mandate of the humane sciences to ask ever better questions of the most challenging kind. It strengthens current practice by stimulating debate on the role of the computer in our intellectual life, and outlines an agenda for the field to which individual scholars across the humanities can contribute.",2005-01-01
The Digital Humanities and the Digital Modern,James Smithies,"This book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis. Informed by the history of technology and culture and new perspectives on modernity, Smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self. The distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in. By framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity. This requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods. The book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities.",2017-08-28
Using Digital Humanities in the Classroom,"Claire Battershill,Shawna Ross","Rooted in the day-to-day experience of teaching and written for those without specialist technical knowledge, this book is the first practical guide to using digital tools and resources in the humanities classroom. Using Digital Humanities in the Classroom covers such topics as: · Overcoming resistance to technology – your own, your colleagues' and your students' · Finding, evaluating and using digital resources · Designing syllabi and planning classroom activities and assignments · Solving problems when technology goes wrong · Using digital tools for collaborative projects, course work and theses · Enhancing your teaching by finding support communities and connecting to your research Taking a step-by-step approach to incorporating digital humanities tools into your teaching, the book is also supported by a companion website, including tutorials, sample classroom activity prompts and assignments, and a bibliographic essay for each book chapter.",2017-10-05
The Routledge Companion to Media Studies and Digital Humanities,Jentery Sayers,"Although media studies and digital humanities are established fields, their overlaps have not been examined in depth. This comprehensive collection fills that gap, giving readers a critical guide to understanding the array of methodologies and projects operating at the intersections of media, culture, and practice. Topics include: access, praxis, social justice, design, interaction, interfaces, mediation, materiality, remediation, data, memory, making, programming, and hacking.",2018-05-04
New Digital Worlds,Roopika Risam,"The emergence of digital humanities has been heralded for its commitment to openness, access, and the democratizing of knowledge, but it raises a number of questions about omissions with respect to race, gender, sexuality, disability, and nation. Postcolonial digital humanities is one approach to uncovering and remedying inequalities in digital knowledge production, which is implicated in an information-age politics of knowledge. New Digital Worlds traces the formation of postcolonial studies and digital humanities as fields, identifying how they can intervene in knowledge production in the digital age. Roopika Risam examines the role of colonial violence in the development of digital archives and the possibilities of postcolonial digital archives for resisting this violence. Offering a reading of the colonialist dimensions of global organizations for digital humanities research, she explores efforts to decenter these institutions by emphasizing the local practices that subtend global formations and pedagogical approaches that support this decentering. Last, Risam attends to human futures in new digital worlds, evaluating both how algorithms and natural language processing software used in digital humanities projects produce universalist notions of the ""human"" and also how to resist this phenomenon.",2018-11-15
Research Methods for Creating and Curating Data in the Digital Humanities,Matt Hayler,"As all scholars increasingly use digital tools to support their research, and every internet user becomes used to data being available, elucidating, and engaging, the creative aspects of Digital Humanities work are coming under increasing scrutiny. This volume explores the practice of making new tools, new images, new collections, and new artworks in an academic environment, detailing who needs to be involved and what their roles might be, and how they come together to produce knowledge as a collective. The chapters presented here demonstrate that creation is never neutral with political and theoretical concerns intentionally or unavoidably always being written into the fabric of what is being made, even if that's the seeming neatness of computer code. In presenting their own creative research, the writers in this volume offer examples of practice that will be of use to anyone interested in learning more about contemporary Digital Humanities scholarship and its implications.",2016-05-30
"Composition, Creative Writing Studies, and the Digital Humanities",Adam Koehler,"In an era of blurred generic boundaries, multimedia storytelling, and open-source culture, creative writing scholars stand poised to consider the role that technology-and the creative writer's playful engagement with technology-has occupied in the evolution of its theory and practice. Composition, Creative Writing Studies and the Digital Humanities is the first book to bring these three fields together to open up new opportunities and directions for creative writing studies. Placing the rise of Creative Writing Studies alongside the rise of the digital humanities in Composition/Rhetoric, Adam Koehler shows that the use of new media and its attendant re-evaluation of fundamental assumptions in the field stands to guide Creative Writing Studies into a new era. Covering current developments in composition and the digital humanities, this book re-examines established assumptions about process, genre, authority/authorship and pedagogical practice in the creative writing classroom.",2017-01-26
One Origin of Digital Humanities,"Julianne Nyhan,Marco Passarotti","This book gathers, and makes available in English, with new introductions, previously out of print or otherwise difficult to access articles by Fr Roberto Busa S.J. (1913 - 2011). Also included is a comprehensive bibliography of Busa, an oral history interview with Busa's translator, and a substantial new chapter that evaluates Busa's contributions and intellectual legacies. The result is a groundbreaking book that is of interest to digital humanists and computational linguists as well as historians of science, technology and the humanities. As the application of computing to cultural heritage becomes ever more ubiquitous, new possibilities for transmitting, shaping, understanding, questioning and even imagining the human record are opening up. Busa is considered by many to be among the pioneers in this field, and his research on projects like the Index Thomisticus is one of the earliest known examples of a humanities project that incorporated automation; it continues to be widely cited and used today. Busa published more than 350 academic articles and shorter pieces in numerous languages, but despite the unquestionable importance of his early work for understanding the history and development of fields like humanities computing and computational linguistics, a large part of his canon and thinking remained inaccessible or difficult to access until this book.",2019-11-26
Advancing Digital Humanities,"P. Arthur,K. Bode","Advancing Digital Humanities moves beyond definition of this dynamic and fast growing field to show how its arguments, analyses, findings and theories are pioneering new directions in the humanities globally.",2014-12-03
The Historical Web and Digital Humanities,"Niels Brügger,Ditte Laursen","The Historical Web and Digital Humanities fosters discussions between the Digital Humanities and web archive studies by focussing on one of the largest entities of the web, namely national and transnational web domains such as the British, French, or European web. With a view to investigating whether, and how, web studies and web historiography can inform and contribute to the Digital Humanities, this volume contains a number of case studies and methodological and theoretical discussions that both illustrate the potential of studying the web, in this case national web domains, and provide an insight into the challenges associated with doing so. Commentary on and possible solutions to these challenges are debated within the chapters and each one contributes in its own way to a web history in the making that acknowledges the specificities of the archived web. The Historical Web and Digital Humanities will be essential reading for those with an interest in how the past of the web can be studied, as well as how Big Data approaches can be applied to the archived web. As a result, this volume will appeal to academics and students working and studying in the fields of Digital Humanities, internet and media studies, history, cultural studies, and communication.",2019-03-07
Digital Humanities and Digital Media,Roberto Simanowski,NA,2016
Data Analytics in Digital Humanities,Shalin Hai-Jew,"This book covers computationally innovative methods and technologies including data collection and elicitation, data processing, data analysis, data visualizations, and data presentation. It explores how digital humanists have harnessed the hypersociality and social technologies, benefited from the open-source sharing not only of data but of code, and made technological capabilities a critical part of humanities work. Chapters are written by researchers from around the world, bringing perspectives from diverse fields and subject areas. The respective authors describe their work, their research, and their learning. Topics include semantic web for cultural heritage valorization, machine learning for parody detection by classification, psychological text analysis, crowdsourcing imagery coding in natural disasters, and creating inheritable digital codebooks.Designed for researchers and academics, this book is suitable for those interested in methodologies and analytics that can be applied in literature, history, philosophy, linguistics, and related disciplines. Professionals such as librarians, archivists, and historians will also find the content informative and instructive.",2017-05-03
Futures for English Studies,"Ann Hewings,Lynda Prescott,Philip Seargeant","Futures for English Studies brings together chapters by leading writers across the curriculum area of English to investigate how the component parts of English (literature, language, and creative writing) are located institutionally in higher education and to explore the interdisciplinary prospects of a subject which spans the humanities and social sciences. Through explorations of changing foci in a variety of contexts, the book examines the value and purpose of teaching and researching English language, literature and creative writing in the twenty-first century, both within Anglophone countries and the wider world. The contributors, all practicing educators and researchers in the field, bring a wide range of perspectives to the theme of the development of the discipline, and illustrate that the strengths of English Studies as an academic subject lie not only in its traditional breadth and depth, but also in a readiness to adapt, experiment, and engage with other subjects.",2016-01-12
Intersectionality in Digital Humanities,"Barbara Bordalejo,Roopika Risam","As digital humanities has expanded in scopeand content, questions of how to negotiatethe overlapping influences of race, class,gender, sexuality, nation, and otherdimensions that shape data, archives, andmethodologies have come to the fore. Takingup these concerns, the authors in this volumeexplore their effects on the methodological,political, and ethical practices of digitalhumanities.",2019-11-30
Digital Humanities and Scholarly Research Trends in the Asia-Pacific,"Shun-Han Rebekah Wong,Haipeng Li,Min Chou","""This book explores the digital humanities in Asia-Pacific. It captures the latest digital humanities landscape in this region and addresses the challenges involved, including the need for new skill sets; new professionals in the libraries; maintaining digital humanities momentum in libraries and research communities; increasing international collaboration; and ongoing maintenance and promotion of developed digital projects""--",2018-11-09
Heritage and Digital Humanities,Bernadette Saou-Dufrene,"The symposium ""Heritage and Digital Humanities,"" organized by the Labex ArtsH2H (Paris 8-Paris Ouest University), together with the French national archives and the Bibliotheque Nationale de France - on the occasion of the inauguration of the university's master's degree for ""Cultural Mediation, Heritage and Digital Technologies"" - was the first occasion to look for potential links between an emerging discipline in quest of its identity, digital humanities, and concepts of heritage, which have undergone renewal and been democratized through technical, social, and political changes. This book brings together contributions from professionals at such 'heritage' institutions, as well as from academics. (Series: Communication Studies / Kommunikationswissenschaft - Vol. 4) [Subject: Cultural Studies, Information Technology]",2014
"Digital Humanities in Biblical, Early Jewish and Early Christian Studies","Claire Clivaz,Andrew Gregory,David Hamidović","From blogs to wikis to digitized editions of ancient texts now discoverable online, digital technology allows scholars to engage ancient texts in novel ways. Contributors to this volume explore what this might mean for the future of Jewish and Christian studies.",2013-12-02
Digital Libraries and the Challenges of Digital Humanities,Jeffrey Rydberg-Cox,"One of the major challenges facing librarians and curators of digital repositories are the innovative ‘born digital’ documents created by scholars in the humanities. These documents range from the parsed corpora created by linguists to traditional reference information presented in electronic databases, to rich, multi-media hypertexts combining audio, still and moving video and text, and many other sorts of material. Too often, librarians think of electronic resources solely as providing access to subscription databases. This book encourages librarians to think holistically of the life cycle of electronic resources from new items being created at their institution, to end-user access, to long term preservation of digital resources. Focuses on role of a digital library in the complete life cycle (creation, access, long term preservation) of digital objects created by scholars in the humanities Covers recent developments in humanities computing and their implications for digital libraries Presents accessible technical information about fields such as information retrieval and computational linguistics for a non-technical audience",2005-11-30
Oral History and Digital Humanities,Douglas A. Boyd,"Exploring the developments that have occurred in the practice of oral history since digital audio and video became viable, this book explores various groundbreaking projects in the history of digital oral history, distilling the insights of pioneers in the field and applying them to the constantly changing electronic landscape of today.",2014-12-17
Supporting Digital Humanities for Knowledge Acquisition in Modern Libraries,"Sacco, Kathleen L.","Digital Humanities is a burgeoning field of research and education concerned with the intersection of technology and history, philosophy, linguistics, literature, music, cultural studies, and the arts. Supporting Digital Humanities for Knowledge Acquisition in Modern Libraries aims to stand at the forefront of this emerging discipline, targeting an audience of researchers and academicians, with a special focus on the role of libraries and library staff. In addition to a collection of chapters on crucial issues surrounding the digital humanities, this volume also includes a fascinating account of the painstaking restoration efforts surrounding a 110-year-old handwritten historical source document, the results of which (never before published on this scale) culminate in a full-color, 70-page photographic reproduction of the 1904 Diary of Anna Clift Smith.",2015-06-25
Heritage and Digital Humanities,Bernadette Saou-Dufrene,"The symposium ""Heritage and Digital Humanities,"" organized by the Labex ArtsH2H (Paris 8-Paris Ouest University), together with the French national archives and the Bibliotheque Nationale de France - on the occasion of the inauguration of the university's master's degree for ""Cultural Mediation, Heritage and Digital Technologies"" - was the first occasion to look for potential links between an emerging discipline in quest of its identity, digital humanities, and concepts of heritage, which have undergone renewal and been democratized through technical, social, and political changes. This book brings together contributions from professionals at such 'heritage' institutions, as well as from academics. (Series: Communication Studies / Kommunikationswissenschaft - Vol. 4) [Subject: Cultural Studies, Information Technology]",2014
"Digital Humanities in Biblical, Early Jewish and Early Christian Studies","Claire Clivaz,Andrew Gregory,David Hamidović","From blogs to wikis to digitized editions of ancient texts now discoverable online, digital technology allows scholars to engage ancient texts in novel ways. Contributors to this volume explore what this might mean for the future of Jewish and Christian studies.",2013-12-02
Digital Libraries and the Challenges of Digital Humanities,Jeffrey Rydberg-Cox,"One of the major challenges facing librarians and curators of digital repositories are the innovative ‘born digital’ documents created by scholars in the humanities. These documents range from the parsed corpora created by linguists to traditional reference information presented in electronic databases, to rich, multi-media hypertexts combining audio, still and moving video and text, and many other sorts of material. Too often, librarians think of electronic resources solely as providing access to subscription databases. This book encourages librarians to think holistically of the life cycle of electronic resources from new items being created at their institution, to end-user access, to long term preservation of digital resources. Focuses on role of a digital library in the complete life cycle (creation, access, long term preservation) of digital objects created by scholars in the humanities Covers recent developments in humanities computing and their implications for digital libraries Presents accessible technical information about fields such as information retrieval and computational linguistics for a non-technical audience",2005-11-30
Oral History and Digital Humanities,Douglas A. Boyd,"Exploring the developments that have occurred in the practice of oral history since digital audio and video became viable, this book explores various groundbreaking projects in the history of digital oral history, distilling the insights of pioneers in the field and applying them to the constantly changing electronic landscape of today.",2014-12-17
Digital Samaritans,Jim Ridolfo,"Digital Samaritans explores rhetorical delivery and cultural sovereignty in the digital humanities. The exigence for the book is rooted in a practical digital humanities project based on the digitization of manuscripts in diaspora for the Samaritan community, the smallest religious/ethnic group of 770 Samaritans split between Mount Gerizim in the Palestinian Authority and in Holon, Israel. Based on interviews with members of the Samaritan community and archival research, Digital Samaritans explores what some Samaritans want from their diaspora of manuscripts, and how their rhetorical goals and objectives relate to the contemporary existential and rhetorical situation of the Samaritans as a living, breathing people. How does the circulation of Samaritan manuscripts, especially in digital environments, relate to their rhetorical circumstances and future goals and objectives to communicate their unique cultural history and religious identity to their neighbors and the world? Digital Samaritans takes up these questions and more as it presents a case for collaboration and engaged scholarship situated at the intersection of rhetorical studies and the digital humanities.",2015-09-16
Between Humanities and the Digital,"Patrik Svensson,David Theo Goldberg",Scholars from a range of disciplines offer an expansive vision of the intersections between new information technologies and the humanities.,2015-05-22
In the Shadows of the Digital Humanities,"Elizabeth Weed,Ellen Rooney","The technological and intellectual impact of the digital humanities on the university is undeniable. Even as some observers hail the digital humanities as a savior of humanistic disciplines in crisis, critical questions about its nature and potential remain unanswered. The contributors to this special issue explicitly critique and engage the digital humanities, rather than simply celebrating the still-emerging field. This collection brings together scholars from the center of digital humanities initiatives and from the closely related fields of new media and software studies, among others, to interrogate some of the assumptions and elisions at play in previous discussions of the digital humanities and assess their impact on the humanities and the university at large. Topics include the national security state; games and “gamification”; the funding crisis in higher education and MOOCs; and issues of race, gender, and class marginalization in digital humanities research. Contributors: Fiona M. Barnett, Wendy Hui Kyong Chun, Michael Dieter, Alexander R. Galloway, David Golumbia, Richard Grusin, Patrick Jagoda, Matthew Kirschenbaum, Adeline Koh, Brian Lennon, Tara McPherson, Rita Raley, Lisa Marie Rhody",2014-03-28
Cyberformalism,Daniel Shore,"Linguistic forms are essential to meaning: like words, they make a semantic contribution to the things we say. We inherit them from past writers and speakers and fill them with different words to produce novel utterances. They shape us and the ways we interpret the world. Yet prevalent assumptions about language and the constraints of print-finding tools have kept linguistic forms and their histories hidden from view. Drawing on recent work in cognitive and construction grammar along with tools and methods developed by corpus and computational linguists, Daniel Shore’s Cyberformalism represents a new way forward for digital humanities scholars seeking to understand the textual past. Championing a qualitative approach to digital archives, Shore uses the abstract pattern-matching capacities of search engines to explore precisely those combinatory aspects of language—word order, syntax, categorization—discarded by the ""bag of words"" quantitative methods that are dominant in the digital humanities. While scholars across the humanities have long explored the histories of words and phrases, Shore argues that increasingly sophisticated search tools coupled with growing full-text digital archives make it newly possible to study the histories of linguistic forms. In so doing, Shore challenges a range of received metanarratives and complicates some of the most basic concepts of literary study. Touching on canonical works by Shakespeare, Milton, Wordsworth, and Kant, even as it takes the full diversity of digitized texts as its purview, Cyberformalism asks scholars of literature, history, and culture to revise nothing less than their understanding of the linguistic sign.",2018-06-17
The Digital Humanities,"Christopher Millson-Martula,Kevin B. Gunn","The digital humanities in academic institutions, and libraries in particular, have exploded in recent years. Librarians are constantly developing their management and technological skills and increasing their knowledge base. As they continue to embed themselves in the scholarly conversations on campus, the challenges facing subject/liaison librarians, technical service librarians, and library administrators are many. This comprehensive volume highlights the wide variety of theoretical issues discussed, initiatives pursued, and projects implemented by academic librarians. Many of the chapters deal with digital humanities pedagogy--planning and conducting training workshops, institutes, semester-long courses, embedded librarian instruction, and instructional assessment--with some chapters focusing specifically on applications of the ""ACRL Framework for Information Literacy for Higher Education."" The authors also explore a wide variety of other topics, including the emotional labor of librarians; the challenges of transforming static traditional collections into dynamic, user-centered, digital projects; conceptualizing and creating models of collaboration; digital publishing; and developing and planning projects including improving one's own project management skills. This collection effectively illustrates how librarians are enabling themselves through active research partnerships in an ever-changing scholarly environment. This book was originally published as a special triple issue of the journal College & Undergraduate Libraries.",2018-12-11
Digital Humanities and the Lost Drama of Early Modern England,Dr Matthew Steggle,"This book establishes new information about the likely content of ten lost plays from the period 1580–1642. The plays’ authors include Nashe, Heywood, and Dekker; and they connect in direct ways to some of the most canonical dramas of English literature, including Hamlet, King Lear, The Changeling, and The Duchess of Malfi. In the process, the study offers innovative thinking both on the practicalities of digital humanities and on the emerging field of lost play studies.",2015-12-28
Digital Humanities and Film Studies,Adelheid Heftberger,"This book highlights the quantitative methods of data mining and information visualization and explores their use in relation to the films and writings of the Russian director, Dziga Vertov. The theoretical basis of the work harkens back to the time when a group of Russian artists and scholars, known as the “formalists,” developed new concepts of how art could be studied and measured. This book brings those ideas to the digital age. One of the central questions the book intends to address is, “How can hypothetical notions in film studies be supported or falsified using empirical data and statistical tools?” The first stage involves manual and computer-assisted annotation of the films, leading to the production of empirical data which is then used for statistical analysis but more importantly for the development of visualizations. Studies of this type furthermore shed light on the field of visual presentation of time-based processes; an area which has its origin in the Russian formalist sphere of the 1920s and which has recently gained new relevance due to technological advances and new possibilities for computer-assisted analysis of large and complex data sets. In order to reach a profound understanding of Vertov and his films, the manual or computer-assisted data analysis must be combined with film-historical knowledge and a study of primary sources. In addition, the status of the surviving film materials and the precise analysis of these materials combined with knowledge of historical film technology provide insight into archival policy and political culture in the Soviet Union in the 1920s and 30s.",2019-01-02
Digital Humanities,Tara Andrews,NA,2016
The Routledge Companion to Digital Humanities in Theatre and Performance,Nic Leonhardt,"Digital Humanities has emerged in recent years as a new paradigm within theatre and performance studies. This is the first volume to compile scholarly and best practice knowledge from around the globe, and to address both the history and future of this new field. Contributors examine a range of projects documenting, reconstructing and visualizing theatre and performance practices both past and present; discuss a new methodology for theatre scholarship, and for archiving and preserving works; and consider the impact of the Digital Humanities on higher education in theatre and performance studies.",2018-10-22
Digital Humanities and Digital Media,Roberto Simanowski,"In this lively and engaging book, Roberto Simanowski interviews key figures in the Digital Humanities, shedding new light on the intersections between digital humanities, digital media studies and the current state of digital media development. Simanowski is a skilled interviewer who strikes a good balance between allowing digressions and unexpected directions, while focusing the discussions on shared key points. With Johanna Drucker, John Cayley, Erick Fellinto, Ulrik Ekman, Mihai Nadin, Nick Montfort, Rodney Jones, Diane Favro, Kathleen Komar, Todd Presner, Willeke Wendrich, N. Katherine Hayles, Jay David Bolter and Bernard Stiegler.",2016-07-01
The Routledge Handbook of English Language and Digital Humanities,"Svenja Adolphs,Dawn Knight","""The Routledge Handbook of English Language and Digital Humanities provides a comprehensive survey of how the digital turn in research has impacted upon the study of the English language. This includes the study of the English Language in its own right using digital data sources and analytical approaches to underpin the development of better descriptions of the English Language, as well as the study of English language at the interface with other areas of research in the Digital Humanities. Divided into four sections, this handbook covers: sources and corpora; the main digital approaches to linguistic analysis; English language at the interface with other areas of research in the Digital Humanities; and the future of English Language and Digital humanities. In covering these areas, more traditional approaches and methodologies in the humanities are combined with the computing power and techniques that allow 'old' humanities research challenges to be addressed in a new way, and new questions to be asked of the material and sources that lie at the heart of a wide spread of humanities disciplines in the era of ""Big Data"". This is a ground-breaking collection of essays offering incisive and essential reading for anyone with an interest in the English language and Digital Humanities""--",2020
Reading and Writing Knowledge in Scientific Communities,"Gérald Kembellec,Evelyne Broudoux","Practices associated with the culture of “scholarly” reading have been developed over many centuries and annotations themselves have become the subject of study, either as additional elements in connection with the original texts or as documents in their own right. The first “scholarly” reading techniques, seen historically from the 12th Century onwards, combine reading and writing in a process known as lettrure, involving both attentive reading and commentary. The Internet has transformed this activity, adding technical layers that relate both to the reading and writing process as well as to the circulation of texts; their potential and effective augmentation, diffusion, and reception. This book examines digitized reading and writing by focusing primarily on the conditions for the co-construction of scientific knowledge and its augmentation. The authors present numerous examples of studies and personal feedback concerning the intellectual process, open critical spaces, collaborative scholarly publishing, methods for the circulation and mediatization of knowledge, as well as the techniques and tools employed.",2017-07-19
Guerrilla Theory,Matthew Applegate,"Guerrilla Theory examines the political, ontological, and technological underpinnings of the guerrilla in the digital humanities (DH). The figure of the guerrilla appears in digital humanities’ recent history as an agent of tactical reformation. It refers to a broad swath of disciplinary desires: digital humanities’ claim to collaborative and inclusive pedagogy, minimal and encrypted computing, and a host of minoritarian political interventions in its praxis, including queer politics, critical race studies, and feminist theory. In this penetrating study, Matthew Applegate uses the guerrilla to connect popular iterations of digital humanities’ practice to its political rhetoric and infrastructure. By doing so, he reorients DH’s conceptual lexicon around practices of collective becoming, mediated by claims to conflict, antagonism, and democratic will. The book pairs a theory-driven analysis of DH minoritarian interventions alongside contemporary political theory. It traces Michael Hardt and Antonio Negri’s radical democratic ingresses into network theory, the guerrilla’s role in its discourse, and concerns for DH’s own invocation of the figure. The book also connects post- and decolonial, feminist, and Marxist iterations of DH praxis to the aesthetic histories of actually existing guerrilla movements, such as Latin American Third Cinema, New York–based Black Mask’s antirepresentational politics, and the documentary cinema of the Black Panther Party. Concluding with a meditation on contemporary political modalities inherent in DH’s disciplinary expansion, Guerrilla Theory offers a concept of DH as a form of critical university studies, challenging DH’s current political scope, and thus its future institutional impact.",2019-10-15
Reading Modernism with Machines,"Shawna Ross,James O'Sullivan","This book uses the discipline-specific, computational methods of the digital humanities to explore a constellation of rigorous case studies of modernist literature. From data mining and visualization to mapping and tool building and beyond, the digital humanities offer new ways for scholars to questions of literature and culture. With the publication of a variety of volumes that define and debate the digital humanities, we now have the opportunity to focus attention on specific periods and movements in literary history. Each of the case studies in this book emphasizes literary interpretation and engages with histories of textuality and new media, rather than dwelling on technical minutiae. Reading Modernism with Machines thereby intervenes critically in ongoing debates within modernist studies, while also exploring exciting new directions for the digital humanities—ultimately reflecting on the conjunctions and disjunctions between the technological cultures of the modernist era and our own digital present.",2016-11-30
Book Conservation and Digital Humanities,Alberto Campagnolo,"This book highlights the challenges that arise when book materials are transmediated into digital forms, both from the point of view of those who look after the physical objects and strive to preserve them for future generations, and those involved in the digitization of the objects, the information that they contain, and the management of the digital data. By surveying a variety of projects and approaches to the difficult conservation-digitization balance, and in fostering a dialogue amongst practitioners that can be thought of as having contrasting goals, this book is a tool for a variety of research, policy making, and practical purposes, and demonstrates that a dialogue between apparently contrasting fields not only is possible, but it is in fact desirable and fruitful.",2020-04-30
Book Conservation and Digital Humanities,Alberto Campagnolo,"This book highlights the challenges that arise when book materials are transmediated into digital forms, both from the point of view of those who look after the physical objects and strive to preserve them for future generations, and those involved in the digitization of the objects, the information that they contain, and the management of the digital data. By surveying a variety of projects and approaches to the difficult conservation-digitization balance, and in fostering a dialogue amongst practitioners that can be thought of as having contrasting goals, this book is a tool for a variety of research, policy making, and practical purposes, and demonstrates that a dialogue between apparently contrasting fields not only is possible, but it is in fact desirable and fruitful.",2020-04-30
Post-Digital Humanities,Joseph Tabbi,"""Bringing together 150 seminal articles from leading scholars, writers and digital artists, Post-Digital charts the history of critical debates on the impact of the digital on art and scholarship today. Collecting over 20 years of major interventions from the pioneering journal electronic book review, this 2-volume set also includes new responses chronicling more recent developments in the field since the original articles, a substantial introduction surveying the long history of thinking about the digital and a comprehensive bibliography of further reading""--",2020
Making Things and Drawing Boundaries,Jentery Sayers,"In Making Things and Drawing Boundaries, critical theory and cultural practice meet creativity, collaboration, and experimentation with physical materials as never before. Foregrounding the interdisciplinary character of experimental methods and hands-on research, this collection asks what it means to ""make"" things in the humanities. How is humanities research manifested in hand and on screen alongside the essay and monograph? And, importantly, how does experimentation with physical materials correspond with social justice and responsibility? Comprising almost forty chapters from ninety practitioners across twenty disciplines, Making Things and Drawing Boundaries speaks directly and extensively to how humanities research engages a growing interest in ""maker"" culture, however ""making"" may be defined. Contributors: Erin R. Anderson; Joanne Bernardi; Yana Boeva; Jeremy Boggs; Duncan A. Buell; Amy Burek; Trisha N. Campbell; Debbie Chachra; Beth Compton; Heidi Rae Cooley; Nora Dimmock; Devon Elliott; Bill Endres; Katherine Faull; Alexander Flamenco; Emily Alden Foster; Sarah Fox; Chelsea A. M. Gardner; Susan Garfinkel; Lee Hannigan; Sara Hendren; Ryan Hunt; John Hunter; Diane Jakacki; Janelle Jenstad; Edward Jones-Imhotep; Julie Thompson Klein; Aaron D. Knochel; J. K. Purdom Lindblad; Kim Martin; Gwynaeth McIntyre; Aurelio Meza; Shezan Muhammedi; Angel David Nieves; Marcel O'Gorman; Amy Papaelias; Matt Ratto; Isaac Record; Jennifer Reed; Gabby Resch; Jennifer Roberts-Smith; Melissa Rogers; Daniela K. Rosner; Stan Ruecker; Roxanne Shirazi; James Smithies; P. P. Sneha; Lisa M. Snyder; Kaitlyn Solberg; Dan Southwick; David Staley; Elaine Sullivan; Joseph Takeda; Ezra Teboul; William J. Turkel; Lisa Tweten.",2018-01-15
The Arclight Guidebook to Media History and the Digital Humanities,"Charles R. Acland,Eric Hoyt",NA,2016
